Date,EUR,GBP,JPY
06nov2003,.8744,.5977,110
07nov2003,.8767,.6,110.28
08nov2003,.867,.5973000000000001,109.33
09nov2003,.8687,.5971,109.39
10nov2003,.8687,.5971,109.33
11nov2003,.8704,.5984,108.56
12nov2003,.8691,.6007,108.81
13nov2003,.8593,.5976,108.8
14nov2003,.8526,.5935,108.17
15nov2003,.8488,.5928,108.36
16nov2003,.849,.5926,108.39
17nov2003,.8485,.5926,108.31
18nov2003,.8509,.5909,108.95
19nov2003,.837,.5875,108.11
20nov2003,.8416,.589,109.31
21nov2003,.8396,.587,108.98
22nov2003,.8392,.5871,108.79
23nov2003,.841,.5869,108.74
24nov2003,.8414,.587,108.7
25nov2003,.8502999999999999,.5899,109.47
26nov2003,.8486,.589,109.43
27nov2003,.8377,.5842000000000001,109.03
28nov2003,.8398,.5836,109.16
29nov2003,.834,.581,109.62
30nov2003,.8343,.5808,109.68
01dec2003,.8349,.5811,109.73
02dec2003,.8352000000000001,.5819,109.37
03dec2003,.8282000000000001,.5785,108.67
04dec2003,.8256,.5789,108.21
05dec2003,.8284,.5808,108.35
06dec2003,.822,.5784,107.72
07dec2003,.8231000000000001,.5784,107.58
08dec2003,.8222,.5781,107.75
09dec2003,.8178,.5771,107.39
10dec2003,.8163,.5728,107.07
11dec2003,.8188,.5737,108.31
12dec2003,.8193,.5732,108.08
13dec2003,.8135,.5728,107.77
14dec2003,.8151000000000001,.573,107.83
15dec2003,.8151000000000001,.573,107.83
16dec2003,.8125,.5728,107.6
17dec2003,.8117,.5702,107.53
18dec2003,.8063,.5664,107.44
19dec2003,.8043,.5638,107.6
20dec2003,.8080000000000001,.5662,107.86
21dec2003,.8095,.5664,107.88
22dec2003,.8061,.566,107.7
23dec2003,.8065,.5668,107.56
24dec2003,.8071,.5673,107.38
25dec2003,.8033,.5636,107.38
26dec2003,.8033,.5645,107.3
27dec2003,.8046,.5647,107.55
28dec2003,.8049,.5633,107.47
29dec2003,.8041,.5647,107.39
30dec2003,.8010000000000001,.5638,107.06
31dec2003,.7967,.5625,107.1
01jan2004,.7952,.5601,107.4
02jan2004,.7973,.5607,107.41
03jan2004,.7943,.5577,106.98
04jan2004,.7949000000000001,.5578,107.06
05jan2004,.7947,.5580000000000001,107.08
06jan2004,.7903,.5539,106.29
07jan2004,.7852,.549,106.24
08jan2004,.7914,.5499000000000001,106.3
09jan2004,.7835,.5458,106.24
10jan2004,.7797,.541,106.66
11jan2004,.7797,.5407,106.66
12jan2004,.7794,.5407,106.76
13jan2004,.7847,.5416,106.72
14jan2004,.7835,.5417,106.26
15jan2004,.7905,.5459000000000001,106.26
16jan2004,.7959000000000001,.5489000000000001,106.48
17jan2004,.7959000000000001,.5489000000000001,106.48
18jan2004,.8069,.5564,106.74
19jan2004,.8218,.5561,106.7
20jan2004,.8097,.5610000000000001,107.29
21jan2004,.7952,.5495,107.1
22jan2004,.7918,.5465,106.98
23jan2004,.7868000000000001,.5421,106.03
24jan2004,.7945,.5474,106.83
25jan2004,.7944,.5476,106.83
26jan2004,.7949000000000001,.5482,106.58
27jan2004,.8019,.5514,106.35
28jan2004,.7913,.5471,105.67
29jan2004,.8008,.549,106.05
30jan2004,.8057,.5506,105.96
31jan2004,.8026,.5506,105.96
01feb2004,.8026,.5506,105.96
02feb2004,.8026,.5506,105.96
03feb2004,.8047,.5497,105.63
04feb2004,.7981,.5443,105.53
05feb2004,.7982,.5457,105.52
06feb2004,.7975,.5456,105.94
07feb2004,.7873,.5416,105.48
08feb2004,.7876,.5414,105.58
09feb2004,.7921,.5424,105.74
10feb2004,.7885,.5385,105.66
11feb2004,.7876,.5346,105.56
12feb2004,.7798000000000001,.529,105.38
13feb2004,.7811,.5287,105.41
14feb2004,.7849,.5304,105.5
15feb2004,.786,.5307,105.49
16feb2004,.7844,.5306,105.53
17feb2004,.7831,.5292,105.5
18feb2004,.7791,.5253,105.71
19feb2004,.7898,.5304,106.9
20feb2004,.787,.5284,107.21
21feb2004,.7986,.5377,109.03
22feb2004,.7976,.5367,109.03
23feb2004,.7996,.538,109.04
24feb2004,.7966,.5357,108.42
25feb2004,.7885,.5288000000000001,108.19
26feb2004,.8004,.5349,109.06
27feb2004,.8044,.5372,109.67
28feb2004,.8004,.5356,108.98
29feb2004,.8006,.5353,109.21
01mar2004,.8007,.5352,109.09
02mar2004,.8037,.5356,108.98
03mar2004,.8187,.5437,110.13
04mar2004,.8199,.5464,110.09
05mar2004,.8204,.5485,111.08
06mar2004,.8082,.5418,112.09
07mar2004,.8090000000000001,.542,112.14
08mar2004,.8076,.5413,112.06
09mar2004,.8061,.5409000000000001,112.06
10mar2004,.8123,.548,112.06
11mar2004,.8169,.5541,110.79
12mar2004,.8106,.5520000000000001,110.95
13mar2004,.8183,.5548,110.9
14mar2004,.8182,.5546,110.86
15mar2004,.8174,.5547,110.78
16mar2004,.815,.5540000000000001,110.35
17mar2004,.8155,.5521,108.85
18mar2004,.8173,.5506,108.31
19mar2004,.8072,.5453,106.79
20mar2004,.8147,.5462,106.8
21mar2004,.8143,.5456,106.69
22mar2004,.8142,.5455,106.85
23mar2004,.8110000000000001,.5417,106.81
24mar2004,.8113,.5407,106.8
25mar2004,.8246,.5484,106.27
26mar2004,.824,.5533,106.21
27mar2004,.8249,.5511,105.94
28mar2004,.825,.5504,105.94
29mar2004,.8252,.5514,105.94
30mar2004,.8236,.5504,105.51
31mar2004,.8215,.5477,105.64
01apr2004,.8129999999999999,.5426,104.4
02apr2004,.8096,.5392,103.78
03apr2004,.8242,.5461,104.55
04apr2004,.8249,.547,104.64
05apr2004,.8253,.5467,104.52
06apr2004,.8322000000000001,.549,105.02
07apr2004,.8272000000000001,.5439000000000001,105.72
08apr2004,.8218,.5436,105.33
09apr2004,.828,.5453,106.3
10apr2004,.8269,.5456,106.46
11apr2004,.8275,.5457,106.47
12apr2004,.8271,.5455,106.34
13apr2004,.8285,.5439000000000001,105.37
14apr2004,.8372000000000001,.5498,106.65
15apr2004,.8358,.5585,108.72
16apr2004,.8351,.5586,108.37
17apr2004,.8342000000000001,.5566,107.81
18apr2004,.8333,.5563,107.93
19apr2004,.8324,.5561,107.77
20apr2004,.8322000000000001,.5531,108.47
21apr2004,.843,.5596,108.68
22apr2004,.8453000000000001,.564,109.44
23apr2004,.8399,.5642,109.55
24apr2004,.845,.5642,109.02
25apr2004,.8445,.5645,108.95
26apr2004,.846,.5647,109
27apr2004,.8424,.5595,108.73
28apr2004,.8377,.5579,109.45
29apr2004,.845,.5644,110.15
30apr2004,.8348,.5637,109.82
01may2004,.8347,.5624,110.52
02may2004,.8347,.5624,110.42
03may2004,.8329,.5628,110.48
04may2004,.8377,.5647,110.34
